Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
Need help with online promotion for Airbnb and booking.com,Social Media,Expert ($$$),Facebook Marketing,USD,28.0,remote,ALL,hourly,2023-01-20 06:36:00,"Help to promote new listing on Airbnb, booking.com etc
",,2016-01-27,Los Angeles,United States,USD,
A website developer expert,Design,Expert ($$$),Web Design,GBP,88.0,remote,ALL,fixed_price,2023-01-20 04:25:54,I need a website designer to redesign my website which is already running but just needs some facelift.  would also prefer someone with experience in designing UK care recruitment website. Only genuine and serious freelance please need to get in touch and we can take it from there. I will respond to all messages.,,2018-06-05,Coventry,United Kingdom,GBP,Individual
Website redesign,Design,Expert ($$$),Web Design,GBP,88.0,remote,ALL,fixed_price,2023-01-20 04:25:58,I am looking for a specialist website designer to redesign my website. The website is already there but it just needs some facelift  and updated content. So basically looking for a good content writer as well preferably someone with experience in writing content for a care recruitment related website.,,2018-06-05,Coventry,United Kingdom,GBP,Individual
AI for custom coding with image object detection,Technology & Programming,Entry ($),Data Science & Analysis,USD,10.0,remote,ALL,hourly,2023-01-20 02:49:43,"Me
Jan 13, 2023, 11:46 PM

Hi,

Please refer this project--
 Grammarly API at https://developer.grammarly.com/

You have to use this API to feed in a folder containing PDF Files as input, and the Grammarly API will paraphrase the text and return a number of equivalent PDF files which will be saved to disk.

ALso refer this URL--> https://inside-machinelearning.com/en/use-yolov7/
YOu have to modify it so that it accepts a list of images in a folder and saves the output as an XML file. It gives list of objects in an image (OBject recognition).

Finally 3rd task is new-- go to an API, take output XML of previous step as input, and get as output (a) Images only (b) Illustrations only.

ANd 4th task-> PDF of step 1 has tags like img1.png and so on, simply insert output of 3rd step, which is img1.png of pdf(all images in a PDF one by one)-> 2nd step gives text based on the image--> 3rd step gives new images based on text ie objects in original image--> now insert all new images at placeholders for various images in PDF file.

THe main tasks are already coded as explained above. You have to combine these into a single Python project.


Do let me know if you can do this work.

Thanks,
Arvind.",,2022-11-26,Hyderabad,India,USD,
Create email template out of given website template,Technology & Programming,Entry ($),Email Template Development,USD,10.0,remote,ALL,hourly,2023-01-20 02:50:01,"Hi,

I have an email template here--> https://themeplace.pro/item/?g=20231505

I want you to create a email template out of it for all 4 color schemes in the website template for use with PHP List email newsletter system.

And fill it with email content
This is simple work please quote a hourly fee. Or a total fee.


Thanks,
Arvind.
",,2022-11-26,Hyderabad,India,USD,
3D Mockup ,Design,Entry ($),3D Design,USD,10.0,remote,ALL,fixed_price,2023-01-20 02:47:49,"I need a designer who is able to do a 3D mockup based on a 2D open design of a packaging. This 3D mockup has to look realistic, and the dimensions have to be an accurate representation. I need 2 designs done first, will include more later.

Have attached an example of a 2D design that has been converted to 3D. ",,2016-05-03,Singapore,Singapore,USD,
Short company video needed!,"Video, Photo & Image",Expert ($$$),Videography,USD,200.0,remote,ALL,fixed_price,2023-01-20 02:47:04,"Looking for someone to create two short videos for an upcoming conference in our company. 

1. First one: short (20-30s) motivational video with a bunch of concepts of how “Together We Create” (our theme for 2023) is the first three words of many different statements.  Here are some of thoughts:  
 
Our Vision Statement is “Creating a world where mental health is in reach for all.”  
 
“Together We Create”  
 
Together – keeps the element of teamwork and alignment.

We – non-descript as to who this is which is intentional.  Is it the US and Israel? Sales and Marketing? BrainsWay and our customer partners (doctors) ? Individuals aligned on a share mission and vision? Yes.  All of the above. (And there is a capital “W”…)

Create – this is the first word of our vision.  It is a powerful word.  It means to make something that was not there before.  New opportunity? Aligned teams? Successful Customers? Efficiency? Momentum? Progress? Hope?  Once again, all of the above.  
 
I could see this as a short video of these words at the end of “Together We Create” to make complete sentences…something showing a cycle of these phrases to show the versatility.  Maybe using the photos of the teams all gathered or opening new clinics.  End with adding the “Together We” to the front of the vision statement.  
 
Our values of Teamwork, Optimism, Creativity all play into this. 
 
Photos and logos will be provided. (can use them with combination of stock images if needed)Please, send your quotes and timelines. Again, it should be a short but sweet 20-30s video. Thank you!

2. 10-15sec video/animated photos of all employees together showcased in a creative ways. Submit your ideas!
",,2020-06-04,Boston,United States,USD,Product Manager
CV rewrite health,Writing & Translation,Intermediate ($$),"Resumes, CVs & Cover Letters",GBP,60.0,remote,ALL,fixed_price,2023-01-20 02:46:34,"I've been a nutritionist and health practitioner for over 25 years and want to upgrade and consolidate my CV in a different better way, highlighting transferrable skills. 

Native or Expert Fluent English speaking essential.",less than 1 week,2017-05-22,Ilford,United Kingdom,GBP,
Website built using the shopify platform.,Design,Entry ($),Web Design,GBP,6.0,remote,ALL,fixed_price,2023-01-20 02:46:08,"I require a website using the shopify platform.

Thank you",,2019-02-13,City of London,United Kingdom,GBP,
CHATGPT INTERGRATION INTO A POWERFUL E-COMMERCE STORE,Technology & Programming,Expert ($$$),Programming & Coding,GBP,25.0,remote,ALL,hourly,2023-01-20 02:45:55,"We are a growing e-commerce grocery store with over 5000 products, using Shopify platform and we're seeking a freelancer to integrate ChatGPT into our website. The ideal candidate will have experience with natural language processing, machine learning, and web development on Shopify.

Responsibilities:

Integrate ChatGPT into our Shopify grocery store to handle customer inquiries and interactions.
Use natural language processing to personalize customer interactions and generate leads and sales.
Develop and implement strategies for data collection and analysis.


Requirements:

Strong experience with natural language processing and machine learning.
Solid understanding of web development technologies and experience with Shopify platform.
Strong problem-solving skills and the ability to work independently.
Experience with OpenAI GPT-3 API and/or pre-built chatbot frameworks is a plus.

If you are passionate about technology and have a track record of delivering high-quality work on Shopify platform, please apply with your resume and relevant work samples",,2020-02-17,Umm al Qaywayn,United Arab Emirates,GBP,
Financial business plan for 14 bed hotel,Business,Entry ($),Finance & Accounting,GBP,95.0,remote,ALL,fixed_price,2023-01-20 02:45:49,"I am looking for a detailed financial plan for a new hotel start up. Looking for modelling based on different occ or cost scenarios, needs to show enough analysis to show from start up to break even ",,2014-02-13,Taunton,United Kingdom,GBP,owner
Seeking a virtual assistant,Business,Entry ($),Administration Assistance,USD,20.0,remote,ALL,fixed_price,2023-01-20 02:56:08,"Simple work. The candidate should be male. Actually, this is straightforward and I can't find any blocks or challenges.",,2023-01-19,London,United Kingdom,USD,
l need a flier designed for me,Design,Entry ($),Cards & Stationery,GBP,25.0,remote,ALL,fixed_price,2023-01-20 02:45:21,"I need a flyer designed. i will send you my log and my colors are green, blue, and white. The designs you make should also come with the vector files etc. Such that l would be in a position to crop me. BELOW is a sample of what l am looking for.",,2020-05-12,London,United Kingdom,GBP,
Microsoft Power app and Power Automate Staff Expense App,Technology & Programming,Entry ($),Programming & Coding,USD,80.0,remote,ALL,fixed_price,2023-01-20 02:44:22,"Hello, I'm looking for someone who has done this work before, I'm planning to create an expenses app that employees can do the following:
The employee will open the app, no need for period or month selections, as the date will be depending when they buy the items.
Enter the date of the item they bought, select the line item for expenses, enter the amount with GST, and also enter the amount of the GST from the item (Auto calculated) based on the total of the item. but can be also overwritten by the employee if a different amount was.
Attached is a picture or pdf file of that item
---------- Done --------------
then the employee keeps adding items on the go.
Each item does not need to be approved. as all items are approved by the manager before they go and buy. but we need to send the expense sheet or request with the total item bought to the supervisor (will approve) then the supervisor will either send it to Finance for processing if less than 1000 or if the amount is more than 1000 it will go the above manager for approval and once it's approved it will go to Finance for processing

What I'm looking for is easy less or non-code at all. I will be using a testing show-and-tell platform that I have with Microsoft. and copy the final work to my company.

The developer must walk me through the development stages and provide me with how I can replicate the work on the live site. also will need to help me understand how to develop different forms, that may have smaller concepts.
Please let me know.",,2015-11-05,Calgary,Canada,USD,
Design 8 Illustrated Charts for Article,Design,Expert ($$$),Graphic Design,GBP,80.0,remote,ALL,fixed_price,2023-01-20 02:43:55,"I have written a guide to Social Media Advertising, which will be used on my website. 

To back up the data in the article, I have taken 8 simple illustrated charts from several other websites. 

The charts need to be redesigned and rebranded, so that they can be used in the article. They can be quite simple. 2 of the charts are attached, as examples. 

These are ideally needed by Thur 26th. Let me know if you have any questions. ",,2012-10-15,Manchester,United Kingdom,GBP,SEO and Social Media Manager
Banner creative resizing (bulk) ,Design,Entry ($),Graphic Design,GBP,400.0,remote,ALL,fixed_price,2023-01-20 02:43:19,"We have several banner designs that are approved and we need them resizing into various widths and lengths etc. 

If I send you a PSD artboard can you please take a look? For example. The creative in the psd will then have to be exported and slightly redesigned into approx 30-40 different size variations. 


Thanks ",,2017-04-26,Colchester,United Kingdom,GBP,Executive Producer || Video Director || Co Founder
Ghostwriter for very short Erotica stories,Writing & Translation,Entry ($),Ghost Writing,USD,35.0,remote,ALL,fixed_price,2023-01-20 02:42:54,"$35 for around 10k words
I need a ghostwriter experienced in erotica. 
preferably with fetish writing experience
a writing sample would be helpful but is not required.

This is an ongoing project that ideally would get you to submit short erotic stories/scenes ranging between 8k-10k words per submission, deadline will be 2 weeks per project.

each story will have a theme or fetish centered around futanari/trans/shemales/dickgirls. you will be provided a broad story with some plot points your story needs to hit to be acceptable.",,2022-11-24,New York City,United States,USD,
Convert wireframe file from Illustrator to XD + create mobile ,Design,Expert ($$$),Web Design,GBP,88.0,remote,ALL,fixed_price,2023-01-20 02:42:38,"I have designed website wireframes (5 pages) for a client in Illustrator, they need the end files as XD and to have the mobile layouts setup too
",,2020-11-20,Mill Hill,United Kingdom,GBP,
Google Ads PPC Monthly Management,Digital Marketing,Expert ($$$),"SEM, Adwords & PPC",GBP,120.0,remote,ALL,fixed_price,2023-01-19 21:00:44,"i require a Google Ads expert to manage a google ads account on a monthly basis. This will include; 

- Keyword planning 
- Ad set up and maintenance 
- Weekly checkins 
- Monthly report 

Ecomm experience in a niche sector is ESSENTIAL and proposals without results enclosed (with dates and acc name) visible will not be considered. 

Budget - £120 per month
",,2023-01-03,Wakefield,United Kingdom,GBP,
Recover gmail,Technology & Programming,Entry ($),Social Media App,GBP,15.0,remote,ALL,fixed_price,2023-01-19 20:59:03,"Hello,
I have a gmail account used around 9 years ago, but I do not remember password or own the phone number or device? I only remember my email and last password I used? Can you recover it?",,2011-10-03,London,United Kingdom,GBP,"Freelance Website Designer, PHP, CSS, Java, Wordpress, Blog, Article"
Tik tok video,"Video, Photo & Image",Entry ($),Videography,EUR,23.0,remote,ALL,fixed_price,2023-01-19 20:35:55,"I need a quick intro for my tik tok i want to use my little business venture to launch it so i need someone who's good with video making and sound to so this.

Can you help?",,2017-03-02,Solihull,United Kingdom,GBP,Pr executive/ Copywriter/ Author
Looking for a designer for our next project. ,Design,Expert ($$$),Interior/Exterior Design,GBP,25.0,remote,ALL,hourly,2023-01-19 20:28:37,We have 60 rooms hotel we are currently renovating. The hotel used to use shared toilets. We need to make the room all en-suite. We have the cad file for the existing place. ,,2022-08-12,London,United Kingdom,GBP,
Assistant based in the Philippines for NGO/ donor-type projects,Business,Expert ($$$),Administration Assistance,USD,160.0,remote,ALL,fixed_price,2023-01-19 19:21:09,"I need someone to do minimal assistance monitoring e-mail but also be on-call when my colleagues from Japan go to the Philippines.  The on-call work will entail arranging, assisting, and documenting meetings with additional hourly pay. 

This is for Japanese-funded grants to the Philippines for the procurement of equipment and machinery for government agencies.  A background in economics, engineering, NGOs, donor agencies, or related education/ experience is preferred.  Fluent English and Filipino are a must.

Highly prefer someone who already has other projects and is seeking to augment income but has a flexible schedule and can prioritize the work when there are visits/ meetings.",,2014-06-07,Valencia,Spain,EUR,"Creative Arts, Design and Writing"
Article builder WordPress plugin development using OpenAI,Technology & Programming,Expert ($$$),Programming & Coding,GBP,450.0,remote,ALL,fixed_price,2023-01-19 19:16:26,"[Please only respond if you understand the brief and can demonstrate expertise]

Im looking for the development of WordPress plugin.

The plugin will build an article iteratively using predefined steps/prompts and the GPT-3 OpenAI API. 

I’ve included an outline brief for Release 1. 

https://www.dropbox.com/s/bo26m2lc4vv61ey/GPT-3%20Article%20Creator%20Pligin.docx?dl=0

Please only reply if you are Cert 5 and above and familiar with OpenAI/ChatGPT/GPT-3. Im ideally looking for UK based developers who can demonstrate experience developing plugins for WordPress.

",,2012-11-21,Birmingham,United Kingdom,GBP,Digital Marketing & SEO Agency ★ WordPress ★ Magento eCommerce ★ Joomla ★ Web Design & Development ★ Consultant
URGENT QUALIFIED ACCOUNTANT REQUIRED QUICKBOOKS EXPERIENCED,Business,Entry ($),Finance & Accounting,USD,18.0,remote,ALL,hourly,2023-01-19 19:16:26,"we need an urgent qualified account to work today and couple more days and urgently fix 

- chart of accounts
- Different between bank statement, invoices, accounts receivables 
- re-check all transactions and fix categories 
- and more

must be qualified we will check this prior to any work and preferred UK and USA based ",,2022-11-16,London,United Kingdom,USD,
SvelteKit project(s),Technology & Programming,Entry ($),Website Development,EUR,10.0,remote,ALL,fixed_price,2023-01-19 19:23:50,"Hey there! Let's start from a quick simple task and if you're a good intermediate then there's tons of more Svelte tasks on this project and many others. If you're a senior then we'll love to get you engaged asap full-time or if you can't join within that scale then less hours.

So the first project is this: under profitelgid/profitelgid in Github as you can see from the Readme it is about moving the live I guess jQuery site into SvelteKit.

The first two simple paid test tasks:
1. Get the dropdown menu into Svelte and working
2. Get into components the header, navigation, sidebar and the footer.

Let's chat. It's good to work with us as we're also developers.",,2020-09-02,Tartu,Estonia,EUR,
API-fetch does not work on first visit:,Technology & Programming,Entry ($),Website Development,USD,10.0,remote,ALL,fixed_price,2023-01-19 18:53:41,"So I have coded this small frontend-project, in Vanilla JS, HTML5, and CSS3, where it fetches movies from an API.
The problem is that almost every time I open a new browser and visit the page (https://relicplay.github.io/moviedb_vanillajs/), no movie titles are being shown. If I refresh the page, or visit it again later in the same browser, it seems to work fine.

I need to know why it doesn't work on initial launch, and how to fix it.

Link to the git-repo: https://github.com/relicplay/moviedb_vanillajs

If you solve this with ease, and I feel we have good communication, I have a few other things I need to hire you for as well, if you're up for it.",,2013-02-13,Norrkoping,Sweden,USD,"Graphics designer, app-programmer, and writer."
hd photograph color correction help,"Video, Photo & Image",Expert ($$$),Image Editing,USD,520.0,remote,ALL,fixed_price,2023-01-19 18:53:41,URGENT Looking for PS/LR Expert - hd photograph color correction help. Order contain 437 images (RAW and Jpegs). Dropbox link you will receive after interview. We are looking for Hi-Experienced editors/retouchers for regular projects (3-4 projects per week),,2020-10-20,Tallinn,Estonia,USD,Owner
Photography (business photography),"Video, Photo & Image",Expert ($$$),Image Editing,USD,529.0,remote,ALL,fixed_price,2023-01-19 18:53:41,We need photo inprover - Photography (business photography). Order contain 163 images (RAW and Jpegs). Dropbox link you will receive after interview. We are looking for Hi-Experienced editors/retouchers for regular projects (3-4 projects per week),,2020-10-20,Tallinn,Estonia,USD,Owner
High End photograph color correction needed,"Video, Photo & Image",Expert ($$$),Image Editing,USD,314.0,remote,ALL,fixed_price,2023-01-19 18:53:41,We are looking for Photo editor - High End photograph color correction needed. Order contain 150 images (RAW and Jpegs). Dropbox link you will receive after interview. We are looking for Hi-Experienced editors/retouchers for regular projects (3-4 projects per week),,2020-10-20,Tallinn,Estonia,USD,Owner
PROFESSIONAL PHOTOGRAPHY EXPERT,"Video, Photo & Image",Expert ($$$),Image Editing,USD,278.0,remote,ALL,fixed_price,2023-01-19 18:53:41,Looking for Pro in PS - PROFESSIONAL PHOTOGRAPHY EXPERT. Order contain 58 images (RAW and Jpegs). Dropbox link you will receive after interview. We are looking for Hi-Experienced editors/retouchers for regular projects (3-4 projects per week),,2020-10-20,Tallinn,Estonia,USD,Owner
I need page templates setup on website,Design,Expert ($$$),Web Design,GBP,88.0,remote,ALL,fixed_price,2023-01-19 18:35:23,"I've purchased a template for my website and need someone to set up the pages for me to then go in and enter all the text and images myself. 

The website is hosted on wordpress and the template is an elementor template. ",,2020-08-11,Stone,United Kingdom,GBP,
Hubspot Developer,Technology & Programming,Expert ($$$),Website Development,GBP,30.0,remote,ALL,hourly,2023-01-19 18:34:14,"Looking for a clear, english speaking hubspot developer,  we are not as sensitive on price but you must have extensive experience in Hubspot dev.  Do no apply if you cannot demonstrate enterprise grade websites you actively develop in Hub spot ",,2009-12-01,City of Westminster,United Kingdom,GBP,
Single Page Website Design,Technology & Programming,Entry ($),Website Development,GBP,150.0,remote_country,GB,fixed_price,2023-01-19 18:32:58,"I need a single page website designed for a PR agency and published through the current domain host. It would need to be done through a CMS or Wordpress platform and a handover document provided, so I can easily handle future web updates.",less than 1 week,2008-11-06,Radlett,United Kingdom,GBP,PR & Marketing Consultant
WordPress Plugin - Increase Activations and Reviews,Digital Marketing,Intermediate ($$),Growth Hacking,GBP,35.0,remote,ALL,hourly,2023-01-19 18:32:27,"Hello, We have created a WordPress plugin available on the WordPress repository. We need further activations and a number of reviews placed to increase its ranking.",,2011-06-21,Surrey,United Kingdom,GBP,Managing Director
Social media captions for a digital marketing agency,Social Media,Expert ($$$),Facebook Marketing,USD,136.0,remote,ALL,fixed_price,2023-01-19 18:15:39,"20 long form engaging Social media captions for a digital marketing agency based in Canada and targeting small and medium business clients in Canada and the US.

Please share examples of your previous work. If you are able to strike synergy with our brand this can turn into a monthly project.",,2022-07-19,Mississauga,Canada,USD,
Remove Lens flare,"Video, Photo & Image",Entry ($),Image Editing,GBP,40.0,remote,ALL,fixed_price,2023-01-19 17:57:13,I have a handful (6) of images which have awkward lens flare which needs minimising or ideally removing. Photos attached.,,2014-07-05,Colchester,United Kingdom,GBP,Director/Owner
Design of marketing brochure ,Design,Intermediate ($$),Illustration & Drawing,GBP,65.0,remote,ALL,fixed_price,2023-01-19 17:38:08,we are a property development company and looking for someone to design a brochure which offers our services.,,2022-12-12,London,United Kingdom,GBP,
HTML Front End Build,Technology & Programming,Expert ($$$),Website Development,GBP,30.0,remote,ALL,hourly,2023-01-19 17:34:52,"We are looking for an individual to implement the new design on the front end of our website.

I need a developer who can provide skills in the following...

HTML
SASS
BOOTSTRAP 5
GULP
UMBRACO",,2022-04-27,Norwich,United Kingdom,GBP,
I want to connect Filemaker with WooCommerce ,Technology & Programming,Entry ($),Databases,EUR,150.0,remote,ALL,fixed_price,2023-01-19 17:29:03,"I have a project in Filemaker which I have all my clients and my products. I want to connect them with my website so i can add products or change the quantity, prices quality etc all from my filemaker project. After a lot of search I found that you can connect it with filemaker 17 version over php codding.

Can someone make this bridge for my project?

I have filemaker Advance pro.",,2018-01-06,Larisa,Greece,EUR,
I need illustrations that are imperfect,Design,Entry ($),Illustration & Drawing,GBP,30.0,remote,ALL,fixed_price,2023-01-19 17:14:00,"Might be wondering what I mean by imperfect check out the images attached I am looking for around 10 different illustrations. Below is an idea of some of the illustrations. 

Pair of DJ Decks 

DJ / Manager playing / speaking to a crowd

Image of a Vinyl, CD & USB vs Computer, Laptop & Ipad

2 screens on making music one editing in photo shop 
",less than 1 week,2014-03-01,Burnley,United Kingdom,GBP,Graphic designer / Web Designer / Social Media Guru
Presentation Design,Design,Expert ($$$),Graphic Design,USD,100.0,remote,ALL,fixed_price,2023-01-19 17:10:25,"Hi,

I would like a presentation design in PowerPoint for a training deck. The designed presentation to adhere to brand guidelines, which I will share,  and will include lots of images and embedding of youtube videos into some slide decks to persuade an audience. The slides are 250 but that's not their actual number as the draft has used a large font and double spacing for clarity. Professional and experienced Designers are preferred, 

Regards, 

Mildred ",,2020-09-30,Nairobi,Kenya,USD,
In search of a good logo,Design,Intermediate ($$),Logo Design,GBP,68.0,remote,ALL,fixed_price,2023-01-19 16:42:37,"We are starting a new brand for automotive decoration whether it be cars bikes or cycles we deal in all

Name to go on logo is DECOMOTION with tag line where automation finishes

We are more in to a more simplistic design rather a more cartoon based logo.",less than 1 week,2020-09-19,Newark on Trent,United Kingdom,USD,DIrector
"API Integration with Amadeus, SABRE, and Duffel",Technology & Programming,Intermediate ($$),Programming & Coding,USD,300.0,remote,ALL,fixed_price,2023-01-19 16:41:28,"Client is looking for API Integration with Amadeus, SABRE, and Duffel... I wanted to know about your TRAVEL API integration experience for Online Travel Booking through booking engine. Need to integrate B2C Hotel, Rental Car, Cruise, Flights, rail, Vacation Packages, Resorts & Attractions. Is this something you can do? If you have access to the dev platform can you understand, integrate, and deliver? Amateurs need not apply, this is an easy job but you need to have experience. If you don't know how and never integrated APIs please don't respond to this project. The integration is to be on 3 OTAs.
",,2014-05-16,Windermere,United States,USD,
Informational Booklet Redesign Needed,Design,Expert ($$$),Graphic Design,GBP,80.0,remote_country,GB,fixed_price,2023-01-19 16:39:44,"I need an experienced UK-based graphic designer to take an existing informational booklet and completely redesign it to fit with our overall branding but with a more visually appealing style. 

The only design requirements are:
- Keep existing text in the same order
- Make sure the booklet is easy to read and accessible for an older B2C audience (demographic is 50+)
- Features logo and company colours
- Is consistent with the style of our website (www.eupropertysolutions.com)

I have attached the current brochure to help. ",less than 1 week,2017-03-31,London,United Kingdom,GBP,
I require help with a Swept Path diagram,Design,Entry ($),Computer-Aided Design (CAD),GBP,80.0,remote,ALL,fixed_price,2023-01-19 16:27:10,"I need a Swept Path diagram for two parking spaces (large domestic car) and access/exit for car and articulated vehicle.
I will issue DWG file once contract is awarded.
",,2018-08-12,Frodsham,United Kingdom,GBP,
Local Hosting Support - Thailand,Business,Expert ($$$),Administration Assistance,GBP,551.0,remote_country,TH,fixed_price,2023-01-19 15:55:03,"We are a France telecommunication company that work around the world for a
better telecommunication and Internet.
What we need?
We need someone in Thailand that can help us in our local Hosting there.
Very easy job and high commission. we will walk you throw all the steps.
For more details inbox me pls and let's have a chat !!",,2021-06-07,Bay Minette,United States,USD,"HR Recruiting Specialist, Graphic Designer and Digital Marketer"
Japanese into English Subtitler - immediate start,Writing & Translation,Expert ($$$),Transcription,USD,180.0,remote,ALL,fixed_price,2023-01-19 15:47:22,"We are looking to work with an experienced video editor/subtitler fluent in Japanese and English for an ongoing project.

We have a 60-minute long video in Japanese for which we require polished English subtitles, to be delivered in SRT file format.

Please apply immediately if you are available, fluent in Japanese and English, and have previous subtitling experience.

We have stated the rate per audio, but please respond with your best rate per minute for subtitling.

If you are interested, please get in touch with us and highlight:
- Your rate for this project
- If you are available to start immediately & deliver as soon as you can
- The time zone you will be working in

We look forward to receiving your applications.

Best regards, Selica International Ltd",,2015-04-02,Enfield,United Kingdom,GBP,"Provider of Translation, Training, Consultancy and Tuition Services"
Editing Fashion Portrait stills ,"Video, Photo & Image",Entry ($),Professional Photography,USD,161.0,remote,ALL,fixed_price,2023-01-19 15:41:48,"Looking for a photo editor to work on 14 fashion stills. 
",,2018-05-04,Jeddah,Saudi Arabia,USD,Producer & DOP
Combination of Shopify and Event Planner,Design,Expert ($$$),Web Design,GBP,200.0,remote,ALL,fixed_price,2023-01-19 15:40:06,"I am looking for a UX web designer who can build me a website which combines Shopify + Event Calendar. 

Website design will be fairly simple and we are more than happy to go with a pre-built theme. UX is of high importance as it will help to cater for other organisations that don't have a website so some user may be less ""techy"" than others.",,2022-05-17,Manchester,United Kingdom,GBP,"Copywriter, Digital Marketing Analyst + Strategist"
Revised logo needed,Design,Expert ($$$),Logo Design,GBP,100.0,remote,ALL,fixed_price,2023-01-19 15:40:06,"We are a group of beekeepers who have developed a different approach to beekeeping in the UK which is far less intrusive than traditional approaches, does not use chemicals and avoids heavy lifting. We have also developed an innovative beehive which can be managed by a person in a wheelchair.

More information about us can be found on our website www.lunevalleybeekeepers.co.uk

We are seeking a revised logo which reflects what we do in a more attractive way. A copy of our existing logo is attached.",3 - 4 weeks,2018-10-15,Lancaster,United Kingdom,GBP,
Etsy design and SEO project ,Digital Marketing,Intermediate ($$),SEO,GBP,50.0,remote,ALL,fixed_price,2023-01-19 15:40:06,"Hi all, 

We require hoodies designs designed, all mock up pictures done, colour and size template done. We require all the description, titles, and tagging SEO done for the listing. We will require 10 designs with all the descriptions done. Designs must be in demand currently and high potential 

Thanks ",,2020-01-21,Gloucester,United Kingdom,GBP,
upload photo and extrapolate data into database application ,Technology & Programming,Expert ($$$),Databases,GBP,700.0,remote,ALL,fixed_price,2023-01-19 15:22:28,"I am looking for an application that will take an image and put information from the picture into a spreadsheet/database. I have attached an example of what the picture looks like. 

From this form, I need the following information in the databse:

1) date of sale
2) serial number
3) community
4) number of stoves
5) contact number

I expect to receive 50,000 of these forms per year. 
",,2023-01-19,London,United Kingdom,GBP,
3D rendors and video walk through,Design,Expert ($$$),Interior/Exterior Design,GBP,215.0,remote,ALL,fixed_price,2023-01-19 15:01:51,"
I am interior designer based in the UK and I am looking for someone to assist with renders and visualisation of spaces, rooms and product placement.

I am looking for someone to commit a number of hours each week and would love to start with a small task to see if we are a good fit.",,2023-01-19,Walton-on-Thames,United Kingdom,GBP,
Excel Work,Business,Entry ($),Administration Assistance,GBP,8.0,remote,ALL,hourly,2023-01-19 14:59:24,"We are currently looking for someone to update our excel with some validation rules, formulas and to cross reference duplicates. 

There are multiple little projects 1st could take around 6 hours, but there will be on going work on a weekly basis.

",,2023-01-19,Peterlee,United Kingdom,GBP,
Mikrotik configuration script,Technology & Programming,Entry ($),Programming & Coding,USD,200.0,remote,ALL,fixed_price,2023-01-19 14:57:46,We are looking at for an experienced Mikrotik certified technician to write a deployment script for 2x mikrotik CRS317-1G-16S+RM. The switches are part of a highly available infrastructure deployment and we need assistance in correctly setting up the switch for best practice and support for MLAG using LACP between the 2 Mikrotik switches. We are also wanted to use the switch dedicated management port (ether1) to be use only for management. See full brief in attached pdf,,2015-04-23,Leeds,United Kingdom,GBP,
Build an AI personalised video creation platform,Technology & Programming,Expert ($$$),Programming & Coding,GBP,403.0,remote,ALL,fixed_price,2023-01-19 14:58:55,"NOTE: The budget is a placeholder: let's discuss the details for an accurate quote.

I am trying to create a platform whereby the user can record one ""template"" video, and then upload a CSV of 500 names, and then AI would deepfake the first name into the first couple seconds of the video.

Examples within the development brief attached. Most important sections would be ""How would our customers use this software?"" and ""Competition"". After reviewing this you should have a good idea of the project requirements.

If you believe you have the skillset to complete this to a high standard, please do apply and I would love to jump on a call to discuss!

DEVELOPMENT BRIEF: https://evokecapital.notion.site/AI-Development-Brief-05e35c3741364402831d62e022b37b6a",Not sure,2023-01-19,London,United Kingdom,GBP,
Need Renders of Wetroom Showing Our Products,Design,Expert ($$$),3D Design,GBP,165.0,remote,ALL,fixed_price,2023-01-19 14:55:14,"We are looking for renders of a wetroom / bathroom showing our Thermopanel products. Attached is a sample showing the general idea of what we would like. We would also like another render of the exact same shot, but a completely tiled and finished bathroom. So it will be a before and after. And also a split render showing half and half. We are wanting it to be a photorealistic render.

Our products that need to be included:
Tile Backer Boards:
https://www.thewetroomstore.co.uk/thermopanel-tile-backer-boards-1250-x-600mm/

Pipe Boxing:
https://www.thewetroomstore.co.uk/thermopanel-pipe-boxing/

Tile On Bench:
https://www.thewetroomstore.co.uk/thermopanel-tileable-shower-seat-bench-for-wet-rooms/

Tileable Bath Panel:
https://www.thewetroomstore.co.uk/thermopanel-tileable-bath-panels/

Shower Niche:
https://www.thewetroomstore.co.uk/thermopanel-tileable-shower-niche-with-flange/

Waterproof Tape & Waterproof Pipe Collar (please see JIT image for reference on how we want this to look)
https://www.thewetroomstore.co.uk/wet-room-waterproofing-shower-tanking-tape-corners-fleece-membrane-collar-bath/

Linear Shower Trays:
https://www.thewetroomstore.co.uk/shower-tray-former-with-linear-drain/
",1 - 2 weeks,2016-02-15,Ipswich,United Kingdom,GBP,Driector
Merge two existing designs for Exhibition roll up banner,Design,Entry ($),Graphic Design,GBP,25.0,remote,ALL,fixed_price,2023-01-19 14:39:49,"I am looking for an experienced designer that has delivered stunning panel/roll-up banner designs for B2B type events/exhibitions/conferences. Attached are some of the banners we like, if you think you can deliver something similar, then please get in touch.

PSD for both existing panels will be provided. 

Brief Attached. ",,2014-03-24,City of London,United Kingdom,USD,Manager
